word,phonetic,meaning,example,level,frequency,initial_delay_days
beard,/biəd/,"n. 胡须；vt. 抓住胡须, 公开反对",,CET4,5310,125
throne,/'θrəun/,"n. 王座, 君主",,CET4,5309,125
brake,/breik/,"n. 刹车, 阻碍, 丛林；v. 刹车",,CET4,5307,125
width,/widθ/,"n. 宽度, 宽广, 广博",,CET4,5304,125
deliberate,/di'libərət/,"a. 深思熟虑的, 故意的, 从容的；v. 仔细考虑",,CET4,5300,125
fur,/fə:/,"n. 毛皮；vt. 以毛皮制作, 使生苔, 使生水垢；vi. 生苔, 积水垢",,CET4,5300,125
poke,/pəuk/,"n. 刺, 戳, 袋子；vt. 戳, 捅, 拨弄, 刺；vi. 戳, 刺, 捅, 搜索, 伸出, 行动散慢",,CET4,5298,125
circular,/'sə:kjulə/,"a. 圆形的, 循环的, 间接的",,CET4,5289,125
thread,/θred/,"n. 线, 丝, 纤维, 线索；vt. 穿线于, 穿过, 通过, 用线穿成；vi. 穿过",,CET4,5286,125
unpleasant,/.ʌn'pleznt/,"a. 使人不愉快的, 使人厌恶的, 煞风景的",,CET4,5278,125
sunshine,/'sʌnʃain/,"n. 阳光, 光明, 晴天",,CET4,5274,125
exhaust,/ig'zɒ:st/,"n. 排气, 排气装置, 废气；vt. 抽完, 用尽, 耗尽, 使精疲力尽；vi. 排气",,CET4,5266,125
globe,/gləub/,"n. 球, 球状物, 地球仪, 天体；v. (使)成球状",,CET4,5265,125
prescribe,/pris'kraib/,"v. 规定, 指定, 嘱咐, 开处方",,CET4,5262,126
blast,/blæst/,"n. 一阵风, 爆炸, 枯萎病；vt. 炸, 使枯萎；vi. 炸, 猛攻, 猛烈抨击, 枯萎",,CET4,5261,126
prevail,/pri'veil/,"vi. 获胜, 流行, 盛行",,CET4,5259,126
deed,/di:d/,"n. 行为, 实行, 契约；vt. 立契转让",,CET4,5258,126
overnight,/'əuvənait/,"n. 前一天晚上, 一夜的逗留；a. 通宵的, 晚上的, 前夜的；adv. 在前一夜, 整夜, 昨晚一晚上",,CET4,5258,126
headache,/'hedeik/,"n. 头痛, 令人头痛之事",,CET4,5255,126
despair,/di'spєə/,"n. 绝望, 失望；vi. 绝望",,CET4,5253,126
screw,/skru:/,"n. 螺旋, 螺杆, 螺钉, 螺旋桨, 吝啬鬼；vt. 调节, 扭紧, 旋, 拧, 加强, 压榨, 勒索；vi. 转动, 旋, 拧",,CET4,5250,126
invention,/in'venʃən/,"n. 发明, 创作能力, 虚构的故事",,CET4,5248,126
contempt,/kən'tempt/,"n. 轻视, 轻蔑",,CET4,5247,126
drill,/dril/,"n. 钻孔机, 钻子, 播种机, 粗斜纹布；v. 训练, 钻孔",,CET4,5240,126
contrary,/'kɒntrəri/,"a. 相反的, 矛盾的, 对立的；n. 相反, 对立面；adv. 相反地",,CET4,5239,126
grape,/greip/,"n. 葡萄, 葡萄树",,CET4,5236,126
usage,/'ju:sidʒ/,"n. 用法, 使用, 习惯, 惯用法, 习惯法",,CET4,5233,126
temper,/'tempə/,"n. (钢等的)硬度, 脾气, 心情, 中和剂, 倾向, 回火；vt. 使回火, 锻炼, 调和, 使缓和；vi. 回火",,CET4,5232,126
tiger,/'taigə/,"n. 老虎, 虎, 凶暴的人",,CET4,5227,126
balloon,/bə'lu:n/,"n. 气球；vt. 使成气球状；vi. 膨胀如气球, 激增",,CET4,5226,126
radar,/'reidə/,"n. 雷达, 无线电探测器",,CET4,5220,126
mist,/mist/,"n. 雾, 迷蒙, 朦胧不清；vt. 使模糊, 使蒙上雾；vi. 变模糊, 下雾",,CET4,5216,126
headmaster,/'hed'mɑ:stə/,"n. (中小学)校长, 监工",,CET4,5213,126
retreat,/ri'tri:t/,"n. 休息寓所, 撤退, 隐居, 退避；vi. 撤退, 隐退, 向后倾；vt. 退(棋)",,CET4,5213,127
minus,/'mainəs/,"n. 负号, 不足；a. 减的, 负的, 阴性的；prep. 减, 缺",,CET4,5211,127
sweater,/'swetə/,"n. 毛衣, 毛线衫, 运动衫, 出汗者",,CET4,5211,127
insufficient,/.insə'fiʃənt/,"a. 不够的, 不能胜任的, 不充足的",,CET4,5209,127
rubber,/'rʌbə/,"n. 橡皮, 橡胶, 做摩擦动作的人, 按摩师, 决胜盘；vt. 用橡胶制造, 涂橡胶于",,CET4,5209,127
philosopher,/fi'lɒsəfə/,"n. 哲学家, 哲人, 思想开创人, 达观的人",,CET4,5203,127
mistress,/'mistris/,"n. 主妇, 女主人, 情妇",,CET4,5200,127
vocabulary,/və'kæbjuləri/,"n. 词汇(量), 词汇表",,CET4,5198,127
spark,/spɑ:k/,"n. 火花, 火星, 闪光, 无线电报务员, 瞬间放电, 活力, 朝气, 花花公子, 情郎；vi. 闪光, 发火花, 求婚；vt. 发动, 鼓舞, 使有朝气, 求婚",,CET4,5195,127
fatigue,/fə'ti:g/,"n. 疲乏, 疲劳；vt. 使疲劳, 使心智衰弱；vi. 疲劳；a. 疲劳的",,CET4,5194,127
noble,/'nəubl/,"n. 贵族；a. 高贵的, 高尚的, 贵族的, 辉煌的",,CET4,5192,127
mathematical,/.mæθə'mætikl/,"a. 数学的, 精确的",,CET4,5191,127
surplus,/'sə:pləs/,"n. 剩余, 过剩, 盈余；a. 过剩的, 剩余的",,CET4,5185,127
textile,/'tekstail/,"n. 纺织品, 纺织业；a. 织的, 纺织的",,CET4,5176,127
technician,/tek'niʃən/,n. 技师,,CET4,5169,127
soak,/səuk/,"n. 浸, 湿透, 大雨；vt. 使上下湿透, 浸, 吸入, 吸收, 浸洗掉；vi. 浸泡, 渗透",,CET4,5165,127
ribbon,/'ribən/,"n. 缎带, 色带, 带状物；vt. 用丝带装饰, 把...撕成条状；vi. 形成带状",,CET4,5162,127
harvest,/'hɑ:vist/,"n. 收获, 成果, 收获物, 收获期；v. 收割, 收获",,CET4,5161,127
dragon,/'drægən/,"n. 龙, 凶暴的人",,CET4,5158,127
spy,/spai/,"n. 间谍, 侦探, 侦察；vt. 侦察, 找出, 发现；vi. 做密探, 侦查",,CET4,5154,127
coordinate,/kəu'ɒ:dineit/,"n. 同等的人(或物), 坐标；a. 同等的, 并列的；v. (使)协调",,CET4,5153,128
lace,/leis/,"n. 饰带, 花边, 缎带, 鞋带；vt. 结带子, 饰以花边；vi. 系带子",,CET4,5153,128
dense,/dens/,"a. 密集的, 浓厚的",,CET4,5136,128
intermediate,/.intə'mi:diət/,"n. 中间物, 调停者, 中级；a. 中间的, 中级的；vi. 起媒介作用",,CET4,5136,128
swell,/swel/,"n. 增大, 隆起的部分, 巨浪, 肿胀；a. 优秀的, 一流的；vi. 增大, 膨胀, 肿胀, 增强, 骄傲；vt. 使膨胀, 使增大, 使上涨, 使骄傲",,CET4,5133,128
cue,/kju:/,"n. 提示, 线索；vt. 给...暗示(或提示)",,CET4,5126,128
foreigner,/'fɒ:rinə/,"n. 外国人, 外地人",,CET4,5113,128
convenience,/kə'vi:njəns/,"n. 方便, 便利的事物, 方便的时候",,CET4,5108,128
weave,/wi:v/,"n. 编法, 织法, 编织式样；vt. 编织, 组合, 编排, 使迂回前进；vi. 纺织, 迂回行进",,CET4,5107,128
bolt,/bəult/,"n. 门闩, 螺钉, 筛子, 闪电, 意外事件；vt. 闩住, 发射, 脱口而出, 筛, 囫囵吞下；vi. 囫囵吞枣, 射箭, 脱缰, 退出党派；adv. 突然",,CET4,5101,128
bulb,/bʌlb/,"n. 球茎, 电灯泡",,CET4,5099,128
cargo,/'kɑ:gəu/,n. 货物,,CET4,5095,128
fog,/fɒg/,"n. 雾, 迷惑, (割后的)最生草, 苔藓；vi. 被雾笼罩, 变模糊；vt. 使困惑, 以雾笼罩",,CET4,5087,128
sometime,/'sʌmtaim/,"a. 以前的, 某一时间的；adv. 改天, 来日",,CET4,5086,128
trim,/trim/,"n. 整齐, 情形, 修剪；a. 整齐的；vt. 使整齐, 整理, 修剪；vi. 调整, 见风使舵",,CET4,5080,128
permanently,/'p\\\\:məntli/,"adv. 永久, 不变, 持久",,CET4,5078,128
butterfly,/'bʌtəflai/,n. 蝴蝶,,CET4,5077,128
accelerate,/ək'seləreit/,"v. 加速, 促进",,CET4,5075,128
bargain,/'bɑ:gin/,"n. 交易, 买卖协定, 特价商品；v. 讲价, 交易",,CET4,5074,128
vacuum,/''vækjuəm/,"n. 真空, 空间, 真空吸尘器；a. 真空的, 产生真空的, 利用真空的；vt. 用吸尘器打扫",,CET4,5070,128
renew,/ri'nju:/,"vt. 使更新, 使恢复, 复兴, 修补, 补充, 继续, 重订, 重申, 续借；vi. 更新, 重新开始",,CET4,5068,129
spit,/spit/,"n. 唾液, 唾吐, 小雨, 炙叉, 一铲的深度；vt. 唾吐, 吐出, 降小雨, 用炙叉穿过；vi. 吐唾沫, 吐痰, 唾弃, 飘霏霏细雨",,CET4,5068,129
parcel,/'pɑ:sl/,"n. 包裹, 部分, 片；vt. 分配, 打包；a. 部分的；adv. 局部地",,CET4,5067,129
laundry,/'lɒ:ndri/,"n. 洗衣店, 洗好的衣服, 洗涤",,CET4,5060,129
revise,/ri'vaiz/,"n. 校订, 修正, 改样；vt. 校订, 修正, 校正",,CET4,5059,129
pistol,/'pistl/,"n. 手枪, 信号枪；vt. 以手枪杀死(或伤害)",,CET4,5057,129
apology,/ə'pɒlədʒi/,"n. 道歉, 辩护",,CET4,5056,129
sketch,/sketʃ/,"n. 素描, 草图, 小品；v. 描绘略图, 画素描或速写",,CET4,5055,129
bore,/bɒ:/,"n. 令人讨厌的人, 激浪, 枪膛, 孔；vt. 使烦扰, 钻孔；vi. 钻孔；bear的过去式",,CET4,5054,129
beloved,/bi'lʌvd/,a. 心爱的；n. 心爱的人,,CET4,5053,129
pronounce,/prə'nauns/,"v. 发音, 宣告, 断言",,CET4,5052,129
dislike,/dis'laik/,"n. 嫌恶；vt. 讨厌, 不喜欢",,CET4,5051,129
sickness,/'siknis/,"n. 疾病, 不健康, 呕吐",,CET4,5049,129
obey,/ə'bei/,"vt. 服从, 遵从, 顺从；vi. 服从",,CET4,5048,129
retrieve,/ri'tri:v/,"vt. 取回, 挽回, 弥补, 恢复, 补偿, 回忆, 检索；vi. 找回猎物；n. 取回, 恢复, 救险球",,CET4,5048,129
fond,/fɒnd/,"a. 喜欢的, 宠爱的, 温柔的",,CET4,5046,129
hammer,/'hæmə/,"n. 锤, 铁锤, 钉锤；vt. 锤打, 敲打, 钉；vi. 连续锤打",,CET4,5045,129
queue,/kju:/,"n. 辫子, 一队人, 队列；vt. 使排队, 将...梳成辫子；vi. 排队",,CET4,5040,129
anchor,/'æŋkə/,"n. 锚；vt. 抛锚停泊, 使固定",,CET4,5039,129
alert,/ə'lə:t/,"a. 警觉的, 灵敏的, 留心的；n. 警报；vt. 使警觉, 通知, 使意识到",,CET4,5034,129
betray,/bi'trei/,"vt. 出卖, 背叛, 辜负, 暴露",,CET4,5026,130
telegraph,/'teligrɑ:f/,"n. 电报, 电报机；vi. 打电报；vt. 打电报给, 电汇, 流露, 显示出要...的样子",,CET4,5026,130
recorder,/ri'kɒ:də/,"n. 记录员, 录音机；n. 记录器",,CET4,5025,130
foolish,/'fu:liʃ/,"a. 愚蠢的, 傻的",,CET4,5023,130
static,/'stætik/,"n. 静电, 静电干扰；a. 静态的, 静止的, 固有的, 静电的",,CET4,5022,130
delicious,/di'liʃəs/,a. 美味的,,CET4,5015,130
mercy,/'mə:si/,"n. 仁慈, 宽恕, 慈悲, 怜悯, 幸运",,CET4,5009,130
worm,/wə:m/,"n. 虫, 蠕虫, 小人物, 螺纹, 蜗杆；vi. 蠕行, 慢慢前进；vt. 使蠕行, 慢慢地走, 除虫",,CET4,5007,130
editorial,/.edi'tɒ:riəl/,"n. 社论, 评论；a. 编辑的, 主笔的, 社论的",,CET4,4992,130
surroundings,/sə'rajndiŋz/,"n. 环境, 周围的事物",,CET4,4991,130
faithful,/'feiθful/,"a. 忠实的, 详确的, 可靠的；n. 信徒",,CET4,4987,130
wit,/wit/,"n. 机智, 智力, 头脑, 理智, 妙语, 机智的人",,CET4,4987,130
spectacle,/'spektəkl/,"n. 引人羡慕的东西, 景象, 眼镜, 场面, 公开展示",,CET4,4986,130
respective,/ri'spektiv/,"a. 分别的, 各自的",,CET4,4985,130
probable,/'prɒbəbl/,"a. 很可能的, 大概的, 可信的；n. 很有希望的候选人, 很可能的事情",,CET4,4984,130
miserable,/'mizərəbl/,a. 悲惨的；痛苦的；卑鄙的,,CET4,4983,130
surrender,/sə'rendə/,"vt. 交出, 放弃, 使投降, 让与；vi. 投降, 自首；n. 交出, 放弃, 投降",,CET4,4976,130
scar,/skɑ:/,"n. 疤痕, 伤痕, 悬崖；vi. 结疤, 愈合, 痊愈；vt. 使有伤痕",,CET4,4974,130
sailor,/'seilə/,"n. 水手, 船员, 海员",,CET4,4970,130
chemist,/'kemist/,"n. 化学家, 药剂师",,CET4,4966,130
outlook,/'autluk/,"n. 观点, 景色, 前途, 了望",,CET4,4961,131
cheerful,/'tʃiəful/,"a. 快活的, 高兴的, 兴高采烈的",,CET4,4959,131
attain,/ə'tein/,"vt. 达到, 获得；vi. 达到",,CET4,4958,131
frighten,/'fraitn/,vt. 使惊吓；vi. 惊恐,,CET4,4953,131
precision,/pri'siʒən/,"n. 精密, 精确, 精确度, 精度；a. 精密的, 精确的",,CET4,4950,131
knot,/nɒt/,"n. 结, 群, 难题；v. 打结, (使)纠缠",,CET4,4939,131
spur,/spə:/,"n. 马刺, 刺激物, 鼓舞；vt. 刺激, 激励, 用马刺策(马)前进；vi. 用马刺驱马, 疾驰",,CET4,4934,131
rob,/rɒb/,"v. 抢夺, 抢掠, 剥夺",,CET4,4929,131
weep,/wi:p/,"n. 哭, 哭泣；vi. 哭泣, 流泪, 哀悼, 滴落；vt. 哭着使..., 悲叹, 滴下",,CET4,4913,131
glow,/gləu/,"n. 赤热, 光辉, 热情, 热烈, 红光；vi. 发红光, 红光焕发, 发热, 洋溢, 激动",,CET4,4908,131
horizontal,/.hɒri'zɒntəl/,"n. 水平线, 水平面, 水平位置；a. 水平线的, 平坦的, 横的；n. 水平",,CET4,4903,131
hydrogen,/'haidrədʒən/,n. 氢,,CET4,4897,131
vinegar,/'vinigə/,"n. 醋, 尖酸刻薄；vt. 加醋于",,CET4,4894,131
murderer,/'mə:dərə/,"n. 凶手, 杀人者, 谋害者",,CET4,4885,131
dive,/daiv/,"n. 潜水, 跳水；vi. 跳水, 俯冲, 猛冲；vt. 把...突然伸入",,CET4,4879,131
soda,/'səudə/,"n. 苏打, 碳酸水",,CET4,4875,131
curl,/kə:l/,"n. 拳曲, 鬈发；vt. 弄卷；vi. 拳曲, 弯曲",,CET4,4859,131
torch,/tɒ:tʃ/,"n. 火把, 启发之物",,CET4,4849,131
leak,/li:k/,"n. 漏洞, 漏处, 漏出, 泄漏；vi. 漏, 泄漏；vt. 使渗漏",,CET4,4835,131
greenhouse,/'gri:nhaus/,n. 温室,,CET4,4834,131
maid,/meid/,"n. 少女, 未婚女子, 女仆",,CET4,4834,132
herd,/hə:d/,"n. 兽群, 人群, 牧人；vt. 群集, 使成群, 放牧；vi. 聚在一起",,CET4,4826,132
pipeline,/'paiplain/,"n. 管道, 传递途径",,CET4,4819,132
ending,/'endiŋ/,"n. 终止, 终了, 收场",,CET4,4812,132
ink,/iŋk/,"n. 墨水, 墨汁；vt. 涂墨水于, 签署, 加墨水",,CET4,4807,132
gasp,/gæsp/,"n. 喘气；vi. 喘气, 喘息, 渴望；vt. 气喘吁吁地说",,CET4,4804,132
infect,/in'fekt/,"vt. 传染, 感染",,CET4,4800,132
locomotive,/.ləukə'məutiv/,"n. 火车头, 机车；a. 运转的, 火车头的, 移动的",,CET4,4797,132
backward,/'bækwəd/,"adv. 向后地, 相反地；a. 向后的, 相反的",,CET4,4796,132
appetite,/'æpitait/,"n. 食欲, 欲望, 爱好",,CET4,4795,132
shiver,/'ʃivə/,"vi. 颤抖, 哆嗦, 被打碎；vt. 使迎风飘动, 粉碎；n. 战栗, 碎块",,CET4,4795,132
offend,/ə'fend/,"v. 犯罪, 冒犯, 违反, 进攻",,CET4,4793,132
bleed,/bli:d/,"vi. 流血, 悲痛, 渗出；vt. 使出血, 榨取",,CET4,4782,132
choke,/tʃəuk/,"vt. 窒息, 阻塞, 噎, 抑制；vi. 窒息, 阻塞, 噎；n. 窒息, 噎, 阻气门",,CET4,4777,132
pea,/pi:/,"n. 豌豆, 似豌豆的东西",,CET4,4774,132
rotation,/rəu'teiʃən/,"n. 旋转, 循环, 轮流",,CET4,4770,132
luxury,/'lʌkʃəri/,"n. 奢侈, 豪华；a. 奢侈的, 豪华的",,CET4,4765,132
robe,/rəub/,"n. 宽松长袍, 礼服, 披肩, 覆盖物；v. (给)穿长袍",,CET4,4759,132
noisy,/'nɒizi/,"a. 嘈杂的, 喧闹的",,CET4,4756,132
classmate,/'klɑ:smeit/,n. 同班同学,,CET4,4753,132
cassette,/kæ'set/,"n. 盒式磁带, 珠宝箱, 暗盒",,CET4,4749,133
hatred,/'heitrid/,"n. 憎恨, 仇恨, 憎恶",,CET4,4748,133
furnish,/'fə:niʃ/,"vt. 供给, 提供, 装设",,CET4,4747,133
gown,/gaun/,"n. 睡衣, 法衣, 大学全体师生；vt. 使穿睡衣",,CET4,4738,133
lodge,/lɒdʒ/,"n. 小屋, 门房, 支部, 旅舍, 分会；vi. 临时住宿, 倒伏, 寄宿, 投宿；vt. 安顿, 容纳, 提出, 把...射入, 存放",,CET4,4731,133
daylight,/'deilait/,"n. 白昼, 日光；vt. 使沐浴于日光；vi. 享有日光",,CET4,4730,133
torture,/'tɒ:tʃə/,"n. 拷问, 苦闷；vt. 拷问, 曲解, 折磨, 使弯曲",,CET4,4728,133
roar,/rɒ:/,"n. 吼, 咆哮, 轰鸣；vi. 吼, 大声说出, 叫喊, 喧闹；vt. 呼喊, 使轰鸣",,CET4,4725,133
glorious,/'glɒ:riəs/,a. 光荣的,,CET4,4724,133
fountain,/'fauntin/,"n. 水源, 源, 喷泉, 泉水, 本源",,CET4,4721,133
revenge,/ri'vendʒ/,"n. 报仇, 复仇, 报复；vt. 报仇, 报复",,CET4,4720,133
sour,/'sauə/,"a. 酸的, 酸臭的, 发酵的, 愠怒的, 讨厌的, 拙劣的, 不健全的；vi. 变酸, 发酵, 厌烦, 变坏；vt. 使变酸, 使失望；n. 酸味, 酸饮料",,CET4,4719,133
ashamed,/ə'ʃeimd/,"a. 惭愧的, 羞耻的",,CET4,4708,133
repetition,/.repi'tiʃən/,"n. 重复, 背诵, 循环, 复制品, 副本",,CET4,4707,133
triangle,/'traiæŋgl/,"n. 三角形, 三个一组, 三角关系",,CET4,4704,133
nuisance,/'nju:sns/,"n. 讨厌的东西, 讨厌的人, 损害",,CET4,4700,133
englishman,/'iŋgliʃmən/,n. 英国人,,CET4,4687,133
apparatus,/.æpə'reitəs/,"n. 装置, 器具, 器官",,CET4,4682,133
wicked,/'wikid/,"a. 坏的, 邪恶的, 缺德的, 刻毒的, 恶劣的, 淘气的",,CET4,4681,133
postpone,/pəust'pəun/,"vt. 延迟, 使延期, 缓办, 搁延；vi. 延缓, 延缓发作",,CET4,4680,133
excite,/ik'sait/,"vt. 刺激, 使兴奋, 激励",,CET4,4672,134
banner,/'bænə/,"n. 旗帜；a. 显著的, 特别好的",,CET4,4667,134
flock,/flɒk/,"n. 兽群, 鸟群, 一群人, 大量, 棉束；vi. 成群而行, 聚集；vt. 用棉束填满",,CET4,4663,134
arbitrary,/'ɑ:bitrəri/,"a. 任意的, 武断的, 专治的, 霸道的",,CET4,4647,134
drought,/draut/,"n. 干旱, 缺乏",,CET4,4647,134
wireless,/'waiəlis/,"n. 无线电；a. 无线的, 无线电的",,CET4,4637,134
rebellion,/ri'beljən/,"n. 谋反, 叛乱, 反抗",,CET4,4633,134
frog,/frɒg/,n. 青蛙,,CET4,4630,134
grind,/graind/,"n. 磨, 碾, 苦差, 摩擦声, 用功的学生；vt. 磨擦, 磨碎, 磨光, 折磨, 压榨；vi. 磨, 磨碎, 苦干",,CET4,4628,134
keyboard,/'ki:bɒ:d/,n. 键盘,,CET4,4626,134
mainland,/'meinlənd/,"n. 大陆, 本土",,CET4,4619,134
subway,/'sʌbwei/,"n. 地铁, 地道；vi. 乘地铁",,CET4,4617,134
transplant,/træns'plɑ:nt/,"vt. 使移居, 移植, 使迁移；vi. 移居, 耐移植；n. 移居者, 移植",,CET4,4614,134
explosive,/ik'spləusiv/,"n. 炸药, 爆破音；a. 易爆发的, 爆炸的, 暴躁的",,CET4,4613,134
pudding,/'pudiŋ/,n. 布丁,,CET4,4613,134
balcony,/'bælkəni/,"n. 阳台, 戏院楼厅",,CET4,4598,134
rehearsal,/ri'hə:sl/,"n. 预演, 排演, 练习, 叙述, 复述",,CET4,4587,134
flush,/flʌʃ/,"n. 流溢, 面红, 旺盛, 发烧, 惊飞的鸟, 同花牌；a. 丰足的, 齐平的, 满盈的, 泛滥的；adv. 齐平地, 直接地；vi. 脸发红, 奔涌, 旺盛, 惊飞；vt. 淹没, 冲洗, 使脸红, 使激动, 使齐平, 使惊飞",,CET4,4584,134
lime,/laim/,"n. 石灰, 粘鸟胶, 酸橙；vt. 以石灰处理, 粘鸟胶于, 撒石灰",,CET4,4571,134
strawberry,/'strɒ:bəri/,n. 草莓,,CET4,4563,134
atomic,/ə'tɒmik/,"a. 原子的, 原子能的",,CET4,4562,135
portable,/'pɒ:təbl/,"a. 可携带的, 可搬运的, 可移动的",,CET4,4559,135
staircase,/'stєəkeis/,"n. 楼梯, 梯子, 楼梯部分",,CET4,4555,135
moisture,/'mɒistʃə/,"n. 湿气, 水分, 降雨",,CET4,4553,135
startle,/'stɑ:tl/,"n. 惊愕, 惊恐；vt. 吃惊, 使惊愕；vi. 惊起",,CET4,4545,135
stool,/stu:l/,"n. 凳子, 大便, 粪便, 厕所；vi. 长新枝；vt. 引诱, 诱捕",,CET4,4541,135
waiter,/'weitə/,n. 侍者,,CET4,4540,135
semester,/si'mestə/,n. 学期,,CET4,4535,135
jam,/dʒæm/,"n. 果酱, 拥塞之物, 堵塞, 困境；vt. 挤进, 使塞满, 混杂, 压碎, 使堵塞；vi. 堵塞, 轧住, 拥挤",,CET4,4530,135
exclaim,/iks'kleim/,"v. 大叫, 呼喊, 大声叫",,CET4,4506,135
scrape,/skreip/,"n. 刮, 擦, 挖, 擦痕, 刮擦声, 困境；vi. 刮掉, 擦掉, 刮出刺耳声；vt. 刮, 擦, 擦伤, 挖成, 积蓄",,CET4,4506,135
sadness,/'sædnis/,"n. 悲哀, 悲伤",,CET4,4494,135
eve,/i:v/,"n. 前夕, 前夜",,CET4,4471,135
goose,/gu:s/,"n. 鹅, 雌鹅, 鹅肉, 弯把熨斗；vt. 与...性交, 突然加大油门, 使生色, 喝倒彩",,CET4,4471,135
peach,/pi:tʃ/,"n. 桃子, 桃树, 桃色, 美人儿, 极好的事物；vt. 告发；vi. 告密, 检举",,CET4,4469,135
poison,/'pɒizn/,"n. 毒药, 毒, 毒物, 有毒害的事物；vt. 毒害, 毒杀, 使中毒；vi. 放毒, 下毒",,CET4,4458,135
disguise,/dis'gaiz/,"n. 假面目, 假装；vt. 假装, 隐瞒",,CET4,4455,135
flourish,/'flʌriʃ/,"vi. 繁荣, 茂盛, 活跃, 手舞足蹈；vt. 挥舞, 夸耀；n. 挥舞, 炫耀, 茂盛, 兴旺, 华丽词藻",,CET4,4452,135
underneath,/.ʌndə'ni:θ/,adv. 在下面；prep. 在...的下面,,CET4,4446,135
spider,/'spaidə/,"n. 蜘蛛, 设圈套者",,CET4,4445,135
vigorous,/'vigərəs/,"a. 精力充沛的, 元气旺盛的, 茁壮的, 有力的",,CET4,4439,136
pillar,/'pilə/,"n. 柱子, 栋梁, 台柱, 重要的支持者",,CET4,4437,136
obscure,/əb'skjuə/,"a. 模糊的, 昏暗的, 难解的, 晦涩的, 偏僻的, 微贱的, 无名的；vt. 使变暗, 隐藏, 使变模糊, 使难解",,CET4,4436,136
restrain,/ri'strein/,"vt. 抑制, 阻止, 束缚",,CET4,4434,136
paradise,/'pærədais/,"n. 天堂, 乐园, 伊甸园",,CET4,4433,136
physicist,/'fizisist/,"n. 物理学家, 机械唯物论者, 自然科学家",,CET4,4432,136
cultivate,/'kʌltiveit/,"vt. 培养, 耕作",,CET4,4426,136
agony,/'ægəni/,"n. 极大的痛苦, 挣扎",,CET4,4425,136
microphone,/'maikrəfəun/,"n. 扩音器, 麦克风",,CET4,4423,136
aluminium,/.ælju'miniəm/,n. 铝；a. 铝的,,CET4,4420,136
meadow,/'medəu/,"n. 草地, 牧场",,CET4,4419,136
cherry,/'tʃeri/,"n. 樱桃, 樱桃树, 樱桃色",,CET4,4418,136
plug,/plʌg/,"n. 塞子, 栓, 插头；vt. 插入, 塞住, 接插头；vi. 被塞住",,CET4,4414,136
wallet,/'wɒlit/,n. 皮夹,,CET4,4413,136
uneasy,/.ʌn'i:zi/,"a. 心神不安的, 不自在的, 不稳定的, 不舒服的",,CET4,4411,136
accord,/ə'kɒ:d/,"n. 一致, 调和, 协定；vt. 给与, 使一致；vi. 相符合",,CET4,4406,136
heap,/hi:p/,"n. 堆, 许多, 累积；vt. 堆积, 装满",,CET4,4404,136
bundle,/'bʌndl/,"n. 捆, 束；vt. 包扎, 胡乱塞进；vi. 匆忙离开",,CET4,4402,136
applause,/ə'plɒ:z/,"n. 鼓掌, 喝彩, 赞许",,CET4,4401,136
spontaneous,/spɒn'teiniəs/,"a. 自然的, 自发的, 未经琢磨的",,CET4,4401,136
unusually,/ʌn'ju:ʒəli/,"adv. 不寻常地, 异乎寻常地, (非正式)非常",,CET4,4393,137
picnic,/'piknik/,"n. 野餐, 远足, 愉快的经历；vi. 去野餐, 远足",,CET4,4381,137
feast,/fi:st/,"n. 宴会, 酒席, 享受, 节日；vt. 款待, 享乐, 请客；vi. 参加宴会, 尽情地吃, 享受",,CET4,4374,137
dairy,/'dєəri/,"n. 牛奶公司, 乳品店, 乳牛场",,CET4,4372,137
interpreter,/in'tə:pritə/,"n. 直译程序, 解释者, 口译者, 注释器",,CET4,4372,137
collision,/kə'liʒən/,"n. 碰撞, 冲突, 抵触",,CET4,4367,137
dash,/dæʃ/,"n. 冲撞, 破折号, 短跑；vi. 猛冲, 冲撞；vt. 泼溅, 使猛撞, 搀和, 使破灭, 使沮丧",,CET4,4366,137
verify,/'verifai/,"vt. 证明, 查证, 证实, 检验, 校验",,CET4,4366,137
rude,/ru:d/,"a. 粗鲁无礼的, 粗陋的, 粗暴的, 原始的, 未开化的, 大略的, 崎岖不平的, 狂暴的",,CET4,4365,137
mat,/mæt/,"n. 垫, 丛, 衬边；a. 粗糙的, 无光泽的；vi. 纠缠在一起；vt. 铺席于...上, 使无光泽, 使缠结",,CET4,4361,137
astronaut,/'æstrənɒ:t/,"n. 太空旅行者, 宇航员",,CET4,4344,137
outset,/'autset/,"n. 着手, 开头, 最初",,CET4,4342,137
crust,/krʌst/,"n. 外壳, 坚硬外皮, 面包皮；vt. 盖以硬皮；vi. 结硬皮",,CET4,4341,137
flu,/flu:/,"n. 流感, 流行性感冒",,CET4,4338,137
sausage,/'sɒsidʒ/,"n. 香肠, 腊肠",,CET4,4336,137
notify,/'nəutifai/,"vt. 通知, 通告, 报告",,CET4,4335,137
lieutenant,/lef'tenənt/,"n. 中尉, 助理人员, 副官",,CET4,4333,137
mosquito,/mə'ski:təu/,n. 蚊子,,CET4,4333,137
nationality,/.næʃə'næləti/,"n. 国籍, 国家, 民族性",,CET4,4327,137
vine,/vain/,"n. 藤本植物, 葡萄, 藤, 蔓；vi. 形成藤蔓",,CET4,4325,137
linen,/'linin/,"n. 亚麻布, 亚麻线, 亚麻制品；a. 亚麻布制的, 亚麻的",,CET4,4319,138
